證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"00666R","富邦恒生國企反1","438000","5336610","12.06","12.28","12.02","12.28","0.2600","61"
"00668","國泰美國道瓊","302343","15821594","52.30","52.45","52.15","52.30","0.5500","200"
"00668K","國泰美國道瓊+U","200","3198","15.99","15.99","15.99","15.99","0.2000","2"
"00669R","國泰美國道瓊反1","1767560","11458240","6.50","6.50","6.47","6.48","-0.0700","149"
"00670L","富邦NASDAQ正2","2064341","288741218","139.75","140.30","139.60","140.05","2.9000","1627"
"00671R","富邦NASDAQ反1","5316220","18144230","3.42","3.42","3.40","3.41","-0.0400","307"
"00673R","期元大S&P原油反1","21112337","141212282","6.67","6.70","6.67","6.70","0.0800","1708"
"00674R","期元大S&P黃金反1","596969","5502323","9.23","9.23","9.20","9.21","-0.0700","163"
"00675L","富邦臺灣加權正2","7687138","765865538","99.10","100.15","98.95","99.95","2.5000","5454"
"00676R","富邦臺灣加權反1","12239400","24703204","2.02","2.03","2.01","2.02","-0.0200","439"
"00678","群益那斯達克生技","273133","7803830","28.20","28.61","28.20","28.56","0.7300","144"
"00680L","元大美債20正2","34096302","253085790","7.42","7.44","7.40","7.44","-0.0700","2203"
"00681R","元大美債20反1","74000","1599840","21.60","21.64","21.60","21.63","0.1200","11"
"00682U","期元大美元指數","448000","9839200","21.95","21.99","21.95","21.99","-0.0600","22"
"00683L","期元大美元指正2","103321","2549586","24.70","24.71","24.66","24.71","-0.0900","24"
"00684R","期元大美元指反1","92070","1350255","14.73","14.73","14.65","14.67","0.0500","24"
"00685L","群益臺灣加權正2","1603406","142555043","88.50","89.35","88.40","89.25","2.2500","887"
"00686R","群益臺灣加權反1","3791201","8304572","2.20","2.20","2.18","2.19","-0.0300","111"
"00688L","國泰20年美債正2","13995189","103269104","7.40","7.40","7.36","7.39","-0.0700","1029"
"00689R","國泰20年美債反1","106000","2370240","22.36","22.38","22.36","22.38","0.1500","4"
"00690","兆豐藍籌30","1029064","37489008","36.33","36.54","36.33","36.47","0.3600","519"
"00692","富邦公司治理","2416946","112198704","46.16","46.56","46.16","46.45","0.6100","2677"
"00693U","期街口S&P黃豆","875900","18590690","21.12","21.32","21.12","21.32","0.3700","279"
"00700","富邦恒生國企","467105","6999996","15.12","15.12","14.88","14.88","-0.3100","149"
"00701","國泰股利精選30","1193076","32316908","27.08","27.14","27.03","27.07","0.0100","1025"
"00702","國泰標普低波高息","152922","3786193","24.78","24.78","24.74","24.74","0.1200","140"
"00703","台新MSCI中國","73548","1240439","16.98","16.98","16.83","16.83","-0.3900","72"
"00706L","期元大S&P日圓正2","12583224","72582389","5.78","5.79","5.75","5.76","-0.0500","967"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","1628424","69831419","42.83","43.04","42.74","43.04","0.7700","508"
"00709","富邦歐洲","54733","1628634","29.76","29.77","29.75","29.77","0.1800","48"
"00710B","復華彭博非投等債","243389","4888219","20.05","20.10","20.05","20.07","0.0700","52"
"00711B","復華彭博新興債","145230","2330413","16.04","16.06","16.03","16.05","0.0300","82"
"00712","復華富時不動產","11040164","105333182","9.55","9.56","9.52","9.54","-0.0100","2275"
"00713","元大台灣高息低波","6212986","332911837","53.45","53.70","53.45","53.60","0.2000","6035"
"00714","群益道瓊美國地產","329167","7066166","21.42","21.48","21.41","21.45","0.0000","138"
"00715L","期街口布蘭特正2","14940307","232009880","15.53","15.58","15.49","15.54","-0.2200","1478"
"00717","富邦美國特別股","199481","3226916","16.12","16.19","16.12","16.18","0.1700","117"
"00728","第一金工業30","291472","9550243","32.74","32.83","32.70","32.77","0.2100","175"
"00730","富邦臺灣優質高息","498183","11627142","23.24","23.36","23.24","23.33","0.1300","375"
"00731","復華富時高息低波","1036731","70250980","67.60","67.90","67.50","67.90","0.3000","689"
"00733","富邦臺灣中小","1974846","99582037","50.30","50.65","50.30","50.40","0.2000","3344"
"00735","國泰臺韓科技","250193","8403227","33.51","33.69","33.51","33.69","0.3800","200"
"00736","國泰新興市場","110932","2556446","23.05","23.07","23.04","23.05","-0.0300","91"
"00737","國泰AI+Robo","762930","25855694","33.70","33.95","33.64","33.94","0.7100","222"
"00738U","期元大道瓊白銀","1109816","30801447","27.69","27.82","27.67","27.81","0.2000","318"
"00739","元大MSCI A股","598063","13254631","22.22","22.33","22.05","22.10","-0.1100","85"
"00752","中信中國50","1713638","35208653","20.57","20.76","20.45","20.45","-0.4300","650"
"00753L","中信中國50正2","27216325","226768692","8.43","8.51","8.21","8.24","-0.3200","3381"
"00757","統一FANG+","9922611","1062879271","106.70","107.65","106.35","107.60","3.2500","6411"
"00762","元大全球AI","734933","54161699","73.10","73.90","73.10","73.90","1.7500","784"
"00763U","期街口道瓊銅","95151","2459303","25.87","25.93","25.82","25.83","0.1500","50"
"00770","國泰北美科技","2585758","126560714","48.80","49.10","48.75","49.06","0.8400","2767"
"00771","元大US高息特別股","51514","915562","17.76","17.81","17.76","17.79","0.1700","86"
"00775B","新光投等債15+","94","3102","","","","","0.0000","4"
"00783","富邦中証500","184426","3571268","19.40","19.40","19.26","19.35","-0.0700","27"
"00830","國泰費城半導體","11838411","541929905","45.53","45.95","45.45","45.92","0.8200","6449"
"00850","元大臺灣ESG永續","1344069","62642202","46.50","46.69","46.49","46.64","0.4300","1700"
"00851","台新全球AI","35780","1889810","52.75","53.05","52.75","52.75","0.4500","118"
"00852L","國泰美國道瓊正2","1933911","54963021","28.42","28.45","28.37","28.42","0.5200","489"
"00861","元大全球未來通訊","169615","7697004","45.44","45.44","45.22","45.40","0.3500","154"
"00865B","國泰US短期公債","123588","5843812","47.23","47.31","47.16","47.16","-0.0700","112"
"00875","國泰網路資安","158957","6210475","38.95","39.13","38.95","39.13","0.6700","143"
"00876","元大全球5G","241505","9504085","39.10","39.44","39.10","39.40","0.3600","255"
"00878","國泰永續高股息","36343806","809298412","22.27","22.31","22.23","22.28","0.0400","18732"
"00881","國泰台灣5G+","8323156","203904258","24.47","24.55","24.43","24.52","0.2400","4827"
"00882","中信中國高股息","14081001","174621213","12.56","12.56","12.35","12.37","-0.1200","3592"
"00885","富邦越南","3036042","34878437","11.45","11.51","11.45","11.47","0.0200","750"
"00891","中信關鍵半導體","8337578","155857547","18.63","18.75","18.63","18.66","0.0700","3523"
"00892","富邦台灣半導體","3202895","57933931","18.10","18.14","18.02","18.08","0.1700","1032"
"00893","國泰智能電動車","2940153","76266425","25.87","25.98","25.87","25.93","0.0700","1491"
"00894","中信小資高價30","1646018","35551432","21.51","21.65","21.51","21.64","0.2900","452"
"00895","富邦未來車","1991526","65357785","32.69","32.88","32.68","32.88","0.4000","1549"
"00896","中信綠能及電動車","1021507","17551035","17.02","17.23","17.02","17.22","0.2000","399"
"00897","富邦基因免疫生技","395439","3066271","7.72","7.77","7.72","7.76","0.1500","441"
"00898","國泰基因免疫革命","402203","2873813","7.15","7.16","7.12","7.15","0.1300","148"
"00899","FT潔淨能源","179191","2452553","13.90","13.90","13.66","13.67","-0.2900","158"
"00900","富邦特選高股息30","6516475","89938543","13.79","13.84","13.78","13.83","0.0300","1775"
"00901","永豐智能車供應鏈","483535","10200637","21.01","21.13","21.01","21.11","0.2500","224"
"00902","中信電池及儲能","822895","8056019","9.81","9.84","9.77","9.77","0.0200","220"
"00903","富邦元宇宙","817888","13533215","16.45","16.58","16.45","16.57","0.4000","389"
"00904","新光臺灣半導體30","1116159","20943818","18.76","18.81","18.70","18.73","0.0900","264"
"00905","FT臺灣Smart","6595214","92606087","13.99","14.07","13.99","14.06","0.1700","2507"
"00907","永豐優息存股","1460040","22884339","15.65","15.70","15.63","15.68","0.0800","545"
"00908","富邦入息REITs+","251125","3090159","12.30","12.32","12.29","12.29","0.0400","44"
"00909","國泰數位支付服務","4914231","171697501","35.03","35.06","34.89","34.95","-0.0700","3896"
"00910","第一金太空衛星","5213424","159909683","30.09","32.00","30.00","31.35","3.3100","4126"
"00911","兆豐洲際半導體","668975","18287903","27.30","27.40","27.27","27.37","0.2500","581"
"00912","中信臺灣智慧50","1059309","20410114","19.15","19.31","19.15","19.26","0.1800","1313"
"00913","兆豐台灣晶圓製造","143548","3027337","21.11","21.15","21.07","21.10","-0.0100","85"
"00915","凱基優選高股息30","9291752","224261463","24.14","24.19","24.06","24.18","0.0200","5560"
"00916","國泰全球品牌50","750413","19302297","25.62","25.78","25.62","25.77","0.2100","693"
"00917","中信特選金融","1151762","25994071","22.50","22.61","22.46","22.61","0.2100","1714"
"00918","大華優利高填息30","12533609","282386241","22.55","22.57","22.48","22.57","0.0300","5810"
"00919","群益台灣精選高息","30589826","708781185","23.19","23.20","23.13","23.18","-0.0100","18081"
"00920","富邦ESG綠色電力","119409","1504499","12.62","12.65","12.57","12.64","0.0000","339"
"00921","兆豐龍頭等權重","482879","8309817","17.17","17.25","17.17","17.25","0.1400","338"
"00922","國泰台灣領袖50","13925806","308666020","22.08","22.22","22.08","22.21","0.2500","4985"
"00923","群益台ESG低碳50","4655590","104802680","22.48","22.57","22.46","22.51","0.1400","1916"
"00924","復華S&P500成長","4621988","120321678","25.99","26.08","25.98","26.07","0.3500","2828"
"00925","新光標普電動車","227519","4284033","18.83","18.83","18.82","18.82","-0.0100","14"
"00926","凱基全球菁英55","3048353","67570487","22.12","22.23","22.10","22.22","0.2600","1041"
"00927","群益半導體收益","4282171","77236698","18.04","18.06","18.00","18.05","0.0000","1676"
"00929","復華台灣科技優息","49925403","912794053","18.27","18.31","18.22","18.30","0.0300","12055"
"00930","永豐ESG低碳高息","3056614","54531548","17.85","17.88","17.80","17.86","0.0000","855"
"00932","兆豐永續高息等權","2256836","34717945","15.30","15.43","15.30","15.43","0.1600","766"
"00934","中信成長高股息","11493876","208811818","18.10","18.23","18.10","18.19","0.1400","3342"
"00935","野村臺灣新科技50","3372801","78725291","23.35","23.40","23.27","23.36","0.2400","1690"
"00936","台新永續高息中小","4839036","72652068","14.97","15.06","14.97","15.04","0.0900","1322"
"00938","凱基優選30","5608864","79984433","14.26","14.32","14.23","14.28","0.0300","321"
"00939","統一台灣高息動能","7145172","101005962","14.10","14.18","14.07","14.16","0.1000","1802"
"00940","元大台灣價值高息","35699915","331431320","9.25","9.31","9.25","9.30","0.0500","10107"
"00941","中信上游半導體","15583269","224480932","14.39","14.43","14.37","14.40","0.1800","2069"
"00943","兆豐電子高息等權","1078363","15594023","14.42","14.51","14.42","14.51","0.1500","320"
"00944","野村趨勢動能高息","682324","9933249","14.50","14.59","14.50","14.58","0.0800","324"
"00945B","凱基美國非投等債","8168167","126849527","15.50","15.54","15.50","15.54","0.0600","1158"
"00946","群益科技高息成長","6104381","55819341","9.13","9.17","9.11","9.16","0.0200","1554"
"00947","台新臺灣IC設計","2513053","36493706","14.54","14.58","14.48","14.52","0.0800","762"
"00949","復華日本龍頭","1927274","29267207","15.14","15.22","15.14","15.18","0.1900","547"
"00951","台新日本半導體","11469039","101728206","8.76","8.93","8.76","8.91","0.3600","1898"
"00952","凱基台灣AI50","4503523","44531967","9.90","9.92","9.85","9.90","0.0500","829"
"00953B","群益優選非投等債","30296987","312787015","10.31","10.34","10.29","10.34","0.0500","3471"
"00954","中信日本半導體","4493997","42150374","9.25","9.43","9.25","9.41","0.3900","812"
"00956","中信日經高股息","824080","7831111","9.50","9.51","9.49","9.49","0.0100","136"
"00960","野村全球航運龍頭","3618215","48895537","13.60","13.60","13.48","13.53","-0.1400","1871"
"00961","FT臺灣永續高息","901521","8550740","9.47","9.50","9.46","9.50","0.0400","133"
"00962","台新AI優息動能","1376581","13425810","9.78","9.79","9.72","9.78","0.0500","287"
"00963","中信全球高股息","2131399","21527021","10.05","10.12","10.05","10.09","0.0500","242"
"00964","中信亞太高股息","887059","8890964","10.04","10.04","10.00","10.02","0.0300","114"
"00965","元大航太防衛科技","36964917","554901141","14.97","15.04","14.92","15.00","0.2400","3498"
"00971","野村美國研發龍頭","7755444","116985806","15.05","15.16","15.04","15.16","0.2100","1927"
"00972","野村日本動能高息","518085","7547956","14.60","14.60","14.55","14.55","0.0400","168"
"01001T","土銀富邦R1","2008","26706","13.30","13.30","13.30","13.30","0.0000","2"
"01002T","土銀國泰R1","14001","209214","14.94","14.98","14.94","14.98","0.0000","13"
"01004T","土銀富邦R2","12027","139631","11.61","11.61","11.61","11.61","0.0000","7"
"01007T","兆豐國泰R2","28001","427924","15.25","15.40","15.25","15.40","0.0000","21"
"01009T","王道圓滿R1","194000","1343490","6.99","6.99","6.90","6.99","0.0000","20"
"01010T","京城樂富R1","3874001","38731309","9.99","10.00","9.99","10.00","0.0000","27"
"020000","富邦特選蘋果N","17000","211480","12.44","12.44","12.44","12.44","0.0000","1"
"020011","統一微波高息20N","1000","10170","10.17","10.17","10.17","10.17","0.0500","1"
"020012","富邦行動通訊N","7000","78180","11.14","11.18","11.14","11.18","0.0400","2"
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","","","","","","","0.0000",""
"020018","統一價值成長30N","2000","50260","25.13","25.13","25.13","25.13","0.0000","1"
"020019","統一特選台灣5GN","2000","41100","20.55","20.55","20.55","20.55","0.2000","1"
"02001L","富邦蘋果正二N","16000","447060","27.88","28.20","27.74","28.20","0.7600","14"
"02001R","富邦蘋果反一N","2000","2730","1.37","1.37","1.36","1.36","0.0000","2"
"02001S","策元大加權策略N","","","","","","","0.0000",""
"020020","元大台股領航N","27000","342500","12.65","12.72","12.65","12.70","0.1500","11"
"020028","元大特選電動車N","27000","251170","9.30","9.32","9.30","9.32","0.1200","7"
"020029","元大ESG高股息N","20000","182870","9.12","9.15","9.12","9.13","-0.0600","6"
"020030","統一智慧電動車N","120000","759000","6.30","6.38","6.30","6.38","0.0300","14"
"020031","統一IC設計臺灣N","7000","43560","6.26","6.26","6.21","6.21","-0.0200","3"
"020032","元大綠能N","18000","99620","5.50","5.54","5.50","5.54","0.1100","4"
"020034","元大IC設計N","89000","725940","8.16","8.17","8.12","8.13","-0.0200","15"
"020036","元大金融配息N","","","","","","","0.0000",""
"020037","元大金融高股息N","","","","","","","0.0000",""
"020038","元大ESG配息N","7000","52850","7.55","7.55","7.55","7.55","-0.0300","3"
"020039","元大加權N","166000","1201870","7.22","7.25","7.22","7.25","0.1000","21"
"1101","台泥","10715241","340520916","31.80","31.95","31.60","31.85","0.0500","4707"
"1101B","台泥乙特","16398","775411","47.30","47.40","47.25","47.40","0.0500","27"
"1102","亞泥","3156452","129653887","41.20","41.35","40.90","41.10","0.0000","1572"
"1103","嘉泥","154064","2652502","17.30","17.35","17.10","17.25","0.0500","244"
"1104","環泥","629164","17957684","28.50","28.65","28.50","28.50","0.0500","249"
"1108","幸福","163643","2359707","14.40","14.50","14.35","14.45","0.0500","85"
"1109","信大","58903","1025033","17.45","17.45","17.35","17.40","-0.0500","174"
"1110","東泥","164522","3283315","20.10","20.15","19.80","20.10","0.2000","153"
"1201","味全","149049","2647605","17.75","17.85","17.70","17.85","0.1500","169"
"1203","味王","22849","853588","36.95","37.50","36.85","37.30","0.0000","109"
"1210","大成","462671","23945325","52.10","52.10","51.60","51.60","-0.2000","765"
"1213","大飲","18114","272523","14.70","15.20","14.70","14.90","-0.2000","19"
"1215","卜蜂","378610","35222756","92.60","93.40","92.50","92.80","-0.1000","693"
"1216","統一","6626295","520211475","79.00","79.00","78.20","78.40","0.0000","3648"
"1217","愛之味","430765","5020666","11.65","11.70","11.60","11.65","0.0500","377"
"1218","泰山","596439","11563500","19.30","19.50","19.25","19.50","0.2500","361"
"1219","福壽","365873","5257703","14.70","14.70","14.25","14.30","-0.3000","309"
"1220","台榮","294667","4931269","16.75","16.80","16.65","16.75","0.0000","218"
"1225","福懋油","5623591","242018567","46.45","47.20","45.10","46.00","0.2500","1743"
"1227","佳格","363277","12715466","35.25","35.25","34.80","35.00","0.0000","408"
"1229","聯華","1565396","77603825","49.30","49.85","49.15","49.60","0.3000","2302"
"1231","聯華食","275603","40560369","145.50","148.50","145.50","147.00","1.5000","579"
"1232","大統益","21662","3156227","145.50","146.00","145.50","145.50","0.5000","83"
"1233","天仁","3162","94856","29.90","30.05","29.90","30.05","0.2000","8"
"1234","黑松","37229","1523418","40.80","41.00","40.80","41.00","0.2000","76"
"1235","興泰","22276","1779928","78.90","81.00","78.90","79.90","2.2000","38"
"1236","宏亞","16572","375843","22.60","22.85","22.60","22.85","0.2000","114"
"1256","鮮活果汁-KY","11158","1450052","129.00","130.50","129.00","129.50","0.5000","122"
"1301","台塑","19889848","715625498","36.00","36.35","35.45","36.25","0.2500","9101"
"1303","南亞","10153641","327643149","32.25","32.60","31.75","32.35","0.3000","5356"
"1304","台聚","2783495","31930029","11.40","11.65","11.20","11.65","0.3500","1376"
"1305","華夏","1551083","19266872","12.40","12.60","12.05","12.55","0.2500","644"
"1307","三芳","2398078","89864402","37.55","38.05","36.95","38.05","0.7000","1299"
"1308","亞聚","612687","8811306","14.40","14.50","14.15","14.50","0.2000","491"
"1309","台達化","999843","13220259","13.30","13.35","13.05","13.30","0.0000","718"
"1310","台苯","306652","3073582","10.10","10.10","9.98","10.10","0.1000","288"
"1312","國喬","3224869","36161665","11.20","11.30","11.10","11.30","0.2000","1003"
"1312A","國喬特","","","","","","","0.0000",""
"1313","聯成","1931272","17098827","8.88","8.91","8.74","8.87","0.0300","903"
"1314","中石化","7536140","55512441","7.34","7.45","7.29","7.45","0.1200","2328"
"1315","達新","6670","455691","68.50","68.50","68.30","68.30","0.0000","19"
"1316","上曜","1857044","25319957","13.80","13.80","13.55","13.65","0.0000","874"
"1319","東陽","1946984","211572987","109.50","109.50","108.50","108.50","0.5000","1047"
"1321","大洋","483670","17325926","35.90","36.20","35.50","35.65","0.0500","307"
"1323","永裕","29050","719938","24.90","24.90","24.70","24.70","-0.2000","26"
"1324","地球","18753","232759","12.40","12.40","12.35","12.35","-0.0500","117"
"1325","恆大","3170021","104802520","32.15","34.95","32.15","34.65","1.6500","2105"
"1326","台化","13151919","366860054","28.10","28.15","27.50","28.10","0.3000","5612"
"1337","再生-KY","178283","1095684","6.13","6.17","6.12","6.13","0.0200","164"
"1338","廣華-KY","22218","614446","27.55","27.80","27.50","27.65","0.1500","72"
"1339","昭輝","23294","1296303","55.70","55.90","55.40","55.80","0.5000","32"
"1340","勝悅-KY","189823","1611978","8.44","8.58","8.44","8.50","0.0600","206"
"1341","富林-KY","12006","822606","68.40","68.60","68.40","68.60","0.2000","11"
"1342","八貫","203927","21628450","105.50","107.00","105.50","106.00","0.5000","238"
"1402","遠東新","4988903","156013115","31.15","31.35","31.00","31.35","0.5000","1661"
"1409","新纖","1481061","22354260","15.25","15.25","15.00","15.15","0.0000","580"
"1410","南染","23002","810470","35.20","35.75","35.05","35.10","-0.0500","17"
"1413","宏洲","70510","786286","11.20","11.20","11.05","11.20","0.0000","29"
"1414","東和","315355","7653231","24.50","24.60","24.10","24.35","0.0000","274"
"1416","廣豐","101457","1245167","12.30","12.35","12.25","12.35","0.1000","79"
"1417","嘉裕","117349","1044221","8.81","8.98","8.81","8.92","0.1100","156"
"1418","東華","75016","2097998","28.30","28.30","27.60","27.85","0.4000","30"
"1419","新紡","31898","1374090","42.80","43.30","42.80","43.10","0.6000","42"
"1423","利華","30187","1119547","37.70","37.75","36.75","36.95","-0.8500","49"
"1432","大魯閣","360035","7527655","20.90","21.05","20.75","21.00","0.1500","387"
"1434","福懋","915441","17230466","18.95","18.95","18.70","18.95","0.1500","721"
"1435","中福","34","1203","","","","","0.0000","30"
"1436","華友聯","154899","18077801","117.00","118.00","115.50","118.00","0.5000","225"
"1437","勤益控","53808","1845093","34.35","34.40","34.10","34.40","0.0500","69"
"1438","三地開發","78205","4177207","53.40","53.80","53.00","53.70","0.2000","207"
"1439","雋揚","17100","542830","32.10","32.10","31.60","31.65","0.0500","15"
"1440","南紡","341157","4687527","13.85","13.85","13.65","13.75","0.0500","334"
"1441","大東","10914","148234","13.55","13.60","13.55","13.60","0.0500","90"
"1442","名軒","2724941","226137339","83.20","83.70","82.20","82.20","-1.0000","2288"
"1443","立益物流","33061","1011159","30.45","30.70","30.40","30.70","0.2500","27"
"1444","力麗","508583","4302436","8.43","8.51","8.43","8.49","0.0500","375"
"1445","大宇","30307","505900","16.55","16.85","16.55","16.70","0.1000","30"
"1446","宏和","254163","9787169","38.20","38.70","38.20","38.65","0.5500","201"
"1447","力鵬","340196","2416804","7.12","7.13","7.07","7.12","0.0100","238"
"1449","佳和","894455","17074243","19.20","19.30","18.85","19.20","0.1500","604"
"1451","年興","131911","2554382","19.45","19.50","19.25","19.35","-0.0500","150"
"1452","宏益","195894","2878390","14.85","14.85","14.30","14.75","-0.1000","176"
"1453","大將","61295","865552","14.20","14.20","14.00","14.05","-0.1500","298"
"1454","台富","88012","1339983","15.20","15.30","15.15","15.25","0.0000","57"
"1455","集盛","391694","3626056","9.26","9.33","9.21","9.33","0.0900","325"
"1456","怡華","1080","15934","14.75","14.75","14.75","14.75","-0.1000","3"
"1457","宜進","116375","2301086","19.65","19.90","19.55","19.90","0.2000","98"
"1459","聯發","285470","2644448","9.36","9.36","9.20","9.30","-0.0600","262"
"1460","宏遠","237292","1689532","7.13","7.14","7.10","7.13","0.0000","129"
"1463","強盛新","42361","1049625","24.75","24.85","24.75","24.85","0.1000","39"
"1464","得力","1358235","23421150","17.65","17.65","17.10","17.20","-0.3000","805"
"1465","偉全","272607","3875838","14.20","14.55","14.05","14.15","0.0500","205"
"1466","聚隆","312337","3715542","11.85","12.10","11.70","11.85","0.0000","114"
"1467","南緯","90834","935704","10.40","10.40","10.25","10.30","0.0000","122"
"1468","昶和","35010","449622","12.85","12.90","12.75","12.75","0.0500","27"
"1470","大統新創","7039","160183","22.50","22.95","22.50","22.95","0.0000","6"
"1471","首利","258558","3228975","12.50","12.60","12.40","12.50","0.0000","217"
"1472","三洋實業","27337","1939090","72.20","72.20","70.10","71.10","0.2000","35"
"1473","台南","204603","7088915","34.50","34.80","34.45","34.60","0.1500","181"
"1474","弘裕","203017","2511682","12.30","12.45","12.25","12.45","0.3000","197"
"1475","業旺","35981","2107542","58.80","58.80","58.40","58.70","0.1000","34"
"1476","儒鴻","594132","317011612","539.00","539.00","530.00","530.00","-4.0000","584"
"1477","聚陽","783111","270241159","344.50","347.00","340.50","347.00","4.0000","883"
"1503","士電","1111340","204056710","180.00","186.50","180.00","186.50","6.5000","1906"
"1504","東元","2474279","132346780","53.50","53.70","53.20","53.60","0.6000","1794"
"1506","正道","21155","257591","12.20","12.20","12.10","12.20","0.0000","26"
"1512","瑞利","9722","69939","7.23","7.25","7.11","7.11","-0.1200","15"
"1513","中興電","4953674","763416780","152.50","155.50","152.00","155.00","3.0000","4684"
"1514","亞力","1630798","159113377","96.50","98.50","96.50","98.30","2.2000","2195"
"1515","力山","888491","27859154","29.75","31.90","29.75","31.30","1.7000","811"
"1516","川飛","33733","565421","16.80","16.85","16.65","16.85","0.1500","74"
"1517","利奇","118354","1540952","13.00","13.10","12.85","13.10","0.1500","208"
"1519","華城","8714316","4780486482","525.00","568.00","522.00","568.00","46.0000","12162"
"1521","大億","63236","1669939","26.60","26.60","26.35","26.40","-0.2000","50"
"1522","堤維西","3120213","199578575","63.70","64.50","63.50","64.10","0.8000","2131"
"1522A","堤維西甲特","6210","302384","48.70","48.70","48.70","48.70","0.0000","8"
"1524","耿鼎","2156802","80343490","37.25","37.40","37.10","37.25","0.1000","1162"
"1525","江申","16072","937054","58.30","58.40","58.30","58.30","0.3000","12"
"1526","日馳","28287","645283","23.05","23.05","22.80","22.80","0.1000","91"
"1527","鑽全","384306","16092687","41.75","42.15","41.70","41.95","0.2500","251"
"1528","恩德","958805","13130716","13.75","13.80","13.60","13.70","-0.0500","555"
"1529","樂事綠能","201602","4544884","22.55","22.70","22.10","22.65","0.2500","210"
"1530","亞崴","44798","1344484","30.00","30.20","30.00","30.05","0.0500","108"
"1531","高林股","338540","4564123","13.40","13.55","13.35","13.55","0.0000","297"
"1532","勤美","1072001","32267300","30.00","30.25","29.95","30.15","0.1000","655"
"1533","車王電","46504","1819183","39.10","39.45","39.00","39.30","0.4000","56"
"1535","中宇","53671","3235587","60.30","60.40","60.00","60.40","0.1000","101"
"1536","和大","1413411","85081889","60.20","60.70","59.90","60.00","0.1000","1050"
"1537","廣隆","97394","14783137","151.50","153.00","151.00","151.50","0.0000","142"
"1538","正峰","4671","131566","27.05","28.95","27.05","28.95","0.9500","46"
"1539","巨庭","132200","2935463","22.35","22.35","22.05","22.25","-0.1000","105"
"1540","喬福","730252","22856707","31.50","31.60","31.00","31.30","0.2000","521"
"1541","錩泰","6114","159079","25.90","26.15","25.90","26.15","0.0000","12"
"1558","伸興","18000","1912714","106.00","107.00","106.00","107.00","1.0000","60"
"1560","中砂","1338579","405390050","300.50","306.00","300.50","303.50","3.0000","6084"
"1563","巧新","396012","23397633","59.00","59.30","58.70","59.10","0.1000","757"
"1568","倉佑","92774","2504851","26.65","27.25","26.65","26.85","0.0000","129"
"1582","信錦","1005802","96480738","95.60","96.80","94.90","96.20","1.1000","1351"
"1583","程泰","24292","1481942","61.20","61.20","60.70","60.70","0.0000","26"
"1587","吉茂","1003584","35677579","33.70","36.30","33.70","35.60","1.9000","832"
"1589","永冠-KY","185740","6825130","36.70","37.00","36.40","36.70","0.1000","328"
"1590","亞德客-KY","414261","361921233","880.00","888.00","865.00","871.00","-9.0000","685"
"1597","直得","1892247","192340108","104.00","104.50","100.50","101.50","-1.0000","1732"
"1598","岱宇","1367270","42704334","30.60","31.85","30.20","31.45","1.1500","1055"
"1603","華電","61311","2132474","35.00","35.00","34.55","34.90","0.3000","125"
"1604","聲寶","140788","3941227","28.00","28.05","27.95","28.05","0.0500","149"
"1605","華新","14792124","359717127","24.40","24.50","24.10","24.50","0.2500","5360"
"1608","華榮","967723","24578271","25.20","25.65","25.10","25.65","0.5500","716"
"1609","大亞","2234543","90790244","40.50","41.00","40.25","41.00","0.7500","2538"
"1611","中電","329422","4888626","14.85","14.95","14.70","14.95","0.1500","278"
"1612","宏泰","345512","10704790","31.05","31.10","30.85","31.00","0.2000","309"
"1614","三洋電","69009","2681697","38.90","39.05","38.60","38.85","0.1500","48"
"1615","大山","138827","8108018","57.80","58.60","57.80","58.30","0.5000","171"
"1616","億泰","591000","10580723","17.80","18.20","17.70","18.15","0.4000","315"
"1617","榮星","114911","1841290","15.70","16.30","15.70","16.05","0.4000","173"
"1618","合機","864403","38373069","44.50","44.80","44.05","44.60","0.1500","859"
"1626","艾美特-KY","31799","443143","14.25","14.30","13.80","13.90","0.0500","93"
"1702","南僑","618497","30931560","49.85","50.30","49.80","49.95","0.2500","575"
"1707","葡萄王","102859","14978064","146.00","146.00","145.00","146.00","0.0000","270"
"1708","東鹼","642837","23943641","37.45","37.45","37.05","37.35","0.1500","420"
"1709","和益","175971","3607131","20.60","20.60","20.40","20.50","0.0000","230"
"1710","東聯","640923","9430709","14.85","14.85","14.65","14.80","0.1000","386"
"1711","永光","672872","14273078","21.40","21.40","21.10","21.20","0.0500","608"
"1712","興農","212029","9469458","44.65","44.80","44.50","44.50","-0.2000","565"
"1713","國化","118240","5973397","50.00","51.50","49.90","50.40","0.9000","138"
"1714","和桐","350868","2820252","8.05","8.06","8.00","8.05","0.0100","248"
"1717","長興","692357","19527855","28.25","28.35","28.00","28.35","0.2000","464"
"1718","中纖","1462958","10952071","7.55","7.55","7.45","7.47","-0.0200","802"
"1720","生達","108542","6632698","61.20","61.30","60.90","61.20","0.3000","149"
"1721","三晃","1028619","15706261","15.60","15.60","15.15","15.25","-0.2500","677"
"1722","台肥","958342","50075936","52.50","52.60","52.10","52.30","0.0000","744"
